Timestamp,Threat Type,Source IP,Destination IP,Ports
2025-12-15 22:50:10,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 22:50:10,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 22:50:12,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:18,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:19,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:24,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:07:25,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:38,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:39,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:40,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:41,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:43,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:44,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:44,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:45,Possible DDoS,71.18.222.1,N/A,4864
2025-12-15 23:07:45,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:46,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:46,Possible DDoS,71.18.222.1,N/A,4865
2025-12-15 23:07:47,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:47,Possible DDoS,71.18.222.1,N/A,4868
2025-12-15 23:07:47,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:48,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:48,Possible DDoS,71.18.222.1,N/A,4869
2025-12-15 23:07:48,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:49,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:52,Possible DDoS,71.18.222.1,N/A,4864
2025-12-15 23:07:53,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:54,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:07:54,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:07:59,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:00,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:00,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:03,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:05,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:05,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:06,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:08,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:09,Possible DDoS,71.18.222.1,N/A,4896
2025-12-15 23:08:09,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:10,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:10,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:11,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:11,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:11,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:14,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:16,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:21,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:21,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:22,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:22,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:27,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:27,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:30,Port Scanning,192.168.1.1,N/A,"[54025, 53963, 58158, 62831, 63441, 59665, 52215, 63993, 50012, 65085, 51358]"
2025-12-15 23:08:32,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:32,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:36,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:41,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:41,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:46,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:48,Malicious IP (OSINT),15.204.219.215,192.168.1.106,
2025-12-15 23:08:49,Malicious IP (OSINT),15.204.219.215,192.168.1.106,
2025-12-15 23:08:50,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:08:50,Malicious IP (OSINT),15.204.219.215,192.168.1.106,
2025-12-15 23:08:51,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:51,Malicious IP (OSINT),15.204.219.215,192.168.1.106,
2025-12-15 23:08:56,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:08:56,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:09:01,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:06,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:06,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:11,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:17,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:21,Port Scanning,192.168.1.1,N/A,"[64738, 59780, 53866, 57290, 53739, 55871, 49807, 50040, 55741, 51486, 63774]"
2025-12-15 23:09:21,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:09:22,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:22,Possible DDoS,104.19.223.79,N/A,56309
2025-12-15 23:09:22,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:09:22,Possible DDoS,104.19.223.79,N/A,56309
2025-12-15 23:09:27,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:28,Possible DDoS,192.168.1.106,N/A,443
2025-12-15 23:09:33,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:37,Possible DDoS,23.53.243.54,N/A,20218
2025-12-15 23:09:38,Possible DDoS,192.168.1.106,N/A,443
